Recid;MStamp;MStation;IDTrefwoordActief;IDTrefwoordPassief
1000001;2008-01-17;1;1000694;1000695
1000002;2008-01-17;1;1000206;1000207
1000004;2008-03-17;1;1001419;1000181
1000005;2008-03-17;1;1001419;1001089
1000006;2008-03-19;1;1000181;1001089
1000007;2008-05-06;1;1001429;1001428
1000008;2008-11-12;1;1001460;1000829
1000009;2008-11-13;1;1001461;1000209
1000010;2008-11-13;1;1001462;1001022
1000011;2008-11-17;1;1001463;1000186
1000012;2008-11-24;1;1000031;1000032
1000013;2008-11-24;1;1001465;1000689
1000014;2008-11-26;1;1001467;1000170
1000015;2009-01-15;1;1001470;1001262
1000016;2009-01-16;1;1001472;1001471
1000017;2009-01-21;1;1001473;1000217
1000018;2009-02-19;1;1001479;1001478
1000019;2009-04-09;1;1000053;1000054
1000020;2009-07-07;1;1001516;1000884
1000021;2009-07-07;1;1001517;1001516
1000022;2009-07-07;1;1001517;1000884
1000024;2009-09-10;1;1001532;1000100
1000025;2009-09-10;1;1001532;1001183
1000026;2009-09-10;1;1001235;1000100
1000027;2009-09-10;1;1001235;1001532
1000028;2009-09-10;1;1001533;1000465
1000029;2009-09-11;1;1001513;1000181
1000030;2009-11-13;1;1001542;1001269
1000031;2009-12-02;1;1001528;1001200
1000032;2010-01-12;1;1001552;1001499
1000033;2010-01-12;1;1001385;1000107
1000034;2010-01-29;1;1001556;1001555
1000035;2010-03-18;1;1001561;1000071
1000036;2010-04-22;1;1001562;1000094
1000037;2010-06-18;1;1001566;1001362
1000038;2010-09-02;1;1001569;1001090
1000039;2010-09-10;1;1001570;1001352
1000040;2011-07-13;1;1001584;1001083
1000041;2011-07-13;1;1001584;1001082
1000042;2011-07-22;1;1001586;1001452
1000043;2012-01-03;1;1001603;1000798
1000044;2012-02-08;1;1001609;1001594
1000045;2012-02-17;1;1000067;1000065
1000046;2012-02-17;1;1000067;1000068
1000047;2012-02-17;1;1000068;1000065
1000048;2012-03-13;1;1001094;1001095
1000049;2012-03-13;1;1000069;1000070
1000050;2012-03-13;1;1000099;1000100
1000051;2012-03-13;1;1000022;1000023
1000052;2012-03-13;1;1000056;1000059
1000053;2012-03-13;1;1000058;1000059
1000054;2012-03-13;1;1000143;1000144
1000055;2012-03-13;1;1000203;1000204
1000056;2012-03-13;1;1000999;1001000
1000057;2012-03-13;1;1000806;1000808
1000058;2012-03-13;1;1000315;1000319
1000059;2012-03-13;1;1000035;1000036
1000060;2012-03-13;1;1000836;1000837
1000061;2012-03-13;1;1001128;1001129
1000062;2012-03-13;1;1000472;1000474
1000063;2012-03-13;1;1000110;1000112
1000064;2012-03-13;1;1000110;1000111
1000065;2012-03-13;1;1000628;1000629
1000066;2012-03-14;1;1000102;1000103
1000067;2012-03-14;1;1000592;1000593
