RecID;MStamp;MStation;IDHyperlink;IDThema
1000076;2011-08-30;1;0;1000287
1000006;2011-07-05;1;0;1000135
1000003;2011-07-05;1;0;1000134
1000056;2011-08-30;1;1000044;1000284
1000016;2011-09-02;1;1000003;1000135
1000057;2011-08-30;1;1000045;1000284
1000058;2011-08-30;1;1000046;1000284
1000017;2011-08-30;1;1000007;1000134
1000014;2011-08-30;1;1000003;1000136
1000026;2011-08-30;1;1000014;1000141
1000027;2011-08-30;1;1000015;1000141
1000050;2011-08-30;1;1000038;1000284
1000055;2011-08-30;1;1000043;1000284
1000025;2011-08-30;1;1000013;1000141
1000051;2011-08-30;1;1000039;1000284
1000028;2011-08-30;1;1000016;1000141
1000032;2011-08-30;1;1000020;1000237
1000033;2011-08-30;1;1000021;1000237
1000018;2011-08-30;1;1000005;1000230
1000029;2011-08-30;1;1000017;1000141
1000030;2011-09-02;1;1000018;1000275
1000031;2011-08-30;1;1000019;1000275
1000020;2011-08-30;1;1000008;1000230
1000021;2011-08-30;1;1000009;1000230
1000019;2011-08-30;1;1000004;1000138
1000024;2011-08-30;1;1000012;1000141
1000053;2011-08-30;1;1000041;1000284
1000023;2011-08-30;1;1000011;1000236
1000052;2011-08-30;1;1000040;1000284
1000034;2011-08-30;1;1000022;1000284
1000035;2011-08-30;1;1000023;1000284
1000054;2011-08-30;1;1000042;1000284
1000022;2011-08-30;1;1000010;1000230
1000059;2011-08-30;1;1000047;1000284
1000049;2011-08-30;1;1000037;1000284
1000071;2011-08-30;1;1000059;1000286
1000072;2011-08-30;1;1000060;1000286
1000048;2011-08-30;1;1000036;1000284
1000036;2011-08-30;1;1000024;1000284
1000065;2011-08-30;1;1000053;1000285
1000047;2011-08-30;1;1000035;1000284
1000068;2011-08-30;1;1000056;1000286
1000009;2011-07-06;1;0;1000230
1000066;2011-08-30;1;1000054;1000285
1000070;2011-08-30;1;1000058;1000286
1000075;2011-08-30;1;1000063;1000287
1000073;2011-08-30;1;1000061;1000286
1000067;2011-08-30;1;1000055;1000285
1000074;2011-08-30;1;1000062;1000287
1000045;2011-08-30;1;1000033;1000284
1000038;2011-08-30;1;1000026;1000284
1000061;2011-08-30;1;1000049;1000285
1000046;2011-08-30;1;1000034;1000284
1000037;2011-08-30;1;1000025;1000284
1000064;2011-08-30;1;1000052;1000285
1000069;2011-08-30;1;1000057;1000286
1000060;2011-08-30;1;1000048;1000285
1000040;2011-08-30;1;1000028;1000284
1000044;2011-08-30;1;1000032;1000284
1000043;2011-08-30;1;1000031;1000284
1000077;2011-08-30;1;1000064;1000287
1000039;2011-08-30;1;1000027;1000284
1000041;2011-08-30;1;1000029;1000284
1000062;2011-08-30;1;1000050;1000285
1000063;2011-08-30;1;1000051;1000285
1000042;2011-08-30;1;1000030;1000284
1000081;2012-03-20;1;1000006;1000135
