Recid;MStamp;MStation;IDArtikelHistoriek;IDDocument;IDRelatieTypeArt;IDRelatieTypeDoc
1000001;2007-01-09;1;1080800;1015340;1;1
1000010;2007-01-09;1;1081473;1014109;3;7
1000011;2007-01-10;1;1062134;1015215;1;1
1000012;2007-01-10;1;1062134;1015356;1;1
1000013;2007-01-11;1;1070192;1015357;1;1
1000014;2007-01-12;1;1063754;1015362;1;1
1000015;2007-01-12;1;1061950;1015363;1;1
1000016;2007-01-12;1;1061957;1015363;1;1
1000017;2007-01-12;1;1061964;1015363;1;1
1000018;2007-01-12;1;1063477;1015363;1;1
1000019;2007-01-12;1;1063484;1015363;1;1
1000020;2007-01-12;1;1061959;1015364;1;1
1000021;2007-01-12;1;1063491;1015363;1;1
1000022;2007-01-12;1;1063486;1015364;1;1
1000023;2007-01-18;1;1068593;1015374;1;1
1000024;2007-01-18;1;1082854;1013039;1;1
1000025;2007-01-18;1;1082854;1014524;0;666
1000026;2007-01-18;1;1082854;1014524;1;1
1000027;2007-01-25;1;1083462;1006539;1;1
1000028;2007-01-26;1;1061081;1015396;1;1
1000029;2007-01-26;1;1061081;1015395;1;1
1000030;2007-01-26;1;1061081;1015398;1;1
1000031;2007-01-26;1;1061081;1015397;1;1
1000032;2007-02-05;1;1080762;1015464;1;1
1000033;2007-02-06;1;1083775;1013334;666;0
1000035;2007-02-06;1;1057225;1015485;0;666
1000036;2007-02-06;1;1057225;1015485;1;1
1000038;2007-02-12;1;1083596;1015508;666;0
1000039;2007-02-12;1;1025537;1015281;3;7
1000040;2007-02-12;1;1084384;1015295;1;1
1000041;2007-02-20;1;1084508;1005098;1;1
1000042;2007-02-20;1;1023199;1007238;1;1
1000043;2007-03-02;1;1075614;1015594;1;1
1000046;2007-03-09;1;1022863;1015618;1;1
1000047;2007-03-09;1;1084552;1015618;1;1
1000048;2007-03-13;1;1000946;1015625;1;1
1000049;2007-03-26;1;1086435;1014500;1;1
1000050;2007-03-26;1;1000955;1015647;1;1
1000051;2007-03-26;1;1085076;1015647;1;1
1000052;2007-03-26;1;1059265;1015656;1;1
1000053;2007-03-26;1;1062937;1015656;1;1
1000054;2007-03-26;1;1076783;1015656;1;1
1000055;2007-03-26;1;1059265;1015657;1;1
1000056;2007-03-26;1;1062937;1015657;1;1
1000057;2007-03-26;1;1076783;1015657;1;1
1000058;2007-03-26;1;1059265;1015654;1;1
1000059;2007-03-26;1;1062937;1015654;1;1
1000060;2007-03-26;1;1076783;1015654;1;1
1000061;2007-03-26;1;1059265;1015655;1;1
1000062;2007-03-26;1;1062937;1015655;1;1
1000063;2007-03-26;1;1076783;1015655;1;1
1000064;2007-03-26;1;1059265;1015650;1;1
1000065;2007-03-26;1;1062937;1015650;1;1
1000066;2007-03-26;1;1076783;1015650;1;1
1000067;2007-03-26;1;1059265;1015651;1;1
1000068;2007-03-26;1;1062937;1015651;1;1
1000069;2007-03-26;1;1076783;1015651;1;1
1000070;2007-03-26;1;1059265;1015652;1;1
1000071;2007-03-26;1;1062937;1015652;1;1
1000072;2007-03-26;1;1076783;1015652;1;1
1000073;2007-03-26;1;1059265;1015653;1;1
1000074;2007-03-26;1;1062937;1015653;1;1
1000075;2007-03-26;1;1076783;1015653;1;1
1000076;2007-03-26;1;1059267;1015658;1;1
1000077;2007-04-03;1;1013197;1000950;1;1
1000078;2007-04-03;1;1013197;1002789;1;1
1000079;2007-04-03;1;1062690;1015681;1;1
1000080;2007-04-03;1;1046035;1015681;1;1
1000081;2007-04-03;1;1062690;1015682;1;1
1000082;2007-04-03;1;1046035;1015682;1;1
1000083;2007-04-03;1;1060254;1015677;1;1
1000084;2007-04-05;1;1051105;1015691;1;1
1000085;2007-04-05;1;1064005;1015689;1;1
1000086;2007-04-06;1;1081634;1015696;1;1
1000087;2007-04-06;1;1055182;1015699;1;1
1000088;2007-04-06;1;1065584;1015699;1;1
1000089;2007-04-13;1;1083162;1015710;1;1
1000090;2007-04-13;1;1083163;1015710;1;1
1000091;2007-04-16;1;1035507;1015712;1;1
1000093;2007-04-20;1;1066157;1015718;1;1
1000094;2007-04-20;1;1066172;1015718;1;1
1000095;2007-04-20;1;1066173;1015718;1;1
1000096;2007-04-20;1;1069818;1015716;1;1
1000097;2007-04-20;1;1069832;1015716;1;1
1000098;2007-04-20;1;1054086;1015716;1;1
1000099;2007-04-23;1;1048756;1015720;1;1
1000100;2007-04-23;1;1048776;1015720;1;1
1000101;2007-04-24;1;1048784;1015724;1;1
1000102;2007-04-24;1;1021969;1015728;1;1
1000104;2007-04-24;1;1087308;1005098;1;1
1000105;2007-04-24;1;1087308;1001597;1;1
1000106;2007-04-25;1;1006826;1015731;1;1
1000107;2007-04-25;1;1020053;1015731;1;1
1000108;2007-04-26;1;1000974;1015735;1;1
1000109;2007-04-26;1;1077836;1015735;1;1
1000110;2007-04-26;1;1000974;1015734;1;1
1000111;2007-04-26;1;1029857;1015734;1;1
1000112;2007-04-26;1;1077870;1015734;1;1
1000113;2007-04-26;1;1084934;1015736;1;1
1000114;2007-04-30;1;1063802;1015741;1;1
1000115;2007-04-30;1;1081574;1015741;1;1
1000116;2007-04-30;1;1021969;1015744;1;1
1000117;2007-04-30;1;1054087;1015742;1;1
1000118;2007-05-10;1;1087169;1015758;1;1
1000119;2007-05-10;1;1069818;1015758;1;1
1000120;2007-05-10;1;1069832;1015758;1;1
1000121;2007-05-21;1;1082155;1015778;1;1
1000122;2007-05-21;1;1087374;1015778;1;1
1000123;2007-05-23;1;1062021;1015793;1;1
1000124;2007-05-23;1;1063545;1015793;1;1
1000125;2007-05-25;1;1086599;1015794;1;1
1000126;2007-05-31;1;1020053;1015800;1;1
1000127;2007-05-31;1;1030413;1015802;1;1
1000129;2007-06-07;1;1028997;1015813;1;1
1000130;2007-06-07;1;1034131;1015813;1;1
1000131;2007-06-07;1;1068574;1015770;1;1
