RecID;MStamp;MStation;IDArtHistActief;IdArtHistPassief;RelatieType
1000010;2006-07-04;1;1066413;1066410;2
1000011;2006-07-04;1;1066414;1066412;2
1000012;2006-07-04;1;1066415;1066511;2
1000013;2006-07-04;1;1066708;1066512;2
1000014;2006-07-04;1;1066417;1066513;2
1000015;2006-07-04;1;1066418;1066514;2
1000016;2006-07-04;1;1066418;1066515;2
1000017;2006-07-04;1;1066418;1066516;2
1000018;2006-07-04;1;1066419;1066514;2
1000019;2006-07-04;1;1066419;1066515;2
1000020;2006-07-04;1;1066420;1066515;2
1000021;2006-07-04;1;1066421;1066522;2
1000022;2006-07-04;1;1066422;1066527;2
1000023;2006-07-04;1;1066423;1066530;2
1000024;2006-07-04;1;1066424;1066531;2
1000025;2006-07-04;1;1066425;1066532;2
1000026;2006-07-06;1;1066426;1066541;2
1000027;2006-07-06;1;1066427;1066545;2
1000028;2006-07-06;1;1066428;1066545;2
1000029;2006-07-06;1;1066429;1066545;2
1000030;2006-07-06;1;1066430;1066561;2
1000032;2006-07-06;1;1066432;1066569;2
1000033;2006-07-06;1;1066433;1066574;2
1000034;2006-07-06;1;1066434;1066578;2
1000035;2006-07-06;1;1066435;1066585;2
1000036;2006-07-06;1;1066436;1066588;2
1000037;2006-07-06;1;1066437;1066588;2
1000038;2006-07-06;1;1066438;1066591;2
1000039;2006-07-06;1;1066439;1066595;2
1000040;2006-07-06;1;1066440;1066595;2
1000041;2006-07-06;1;1066441;1066595;2
1000042;2006-07-06;1;1066442;1066595;2
1000043;2006-07-06;1;1066443;1066596;2
1000044;2006-07-06;1;1066444;1066597;2
1000046;2006-07-06;1;1066447;1066599;2
1000047;2006-07-06;1;1066448;1066602;2
1000048;2006-07-06;1;1066449;1066602;2
1000049;2006-07-06;1;1066466;1066602;2
1000050;2006-07-06;1;1066467;1066602;2
1000051;2006-07-06;1;1066468;1066609;2
1000052;2006-07-06;1;1066470;1066613;2
1000054;2006-07-06;1;1066472;1066618;2
1000055;2006-07-06;1;1066473;1066619;2
1000056;2006-07-06;1;1066474;1066619;2
1000057;2006-07-06;1;1066475;1066619;2
1000058;2006-07-06;1;1066476;1066619;2
1000059;2006-07-06;1;1066477;1066620;2
1000060;2006-07-06;1;1066478;1066621;2
1000063;2006-07-06;1;1066481;1066624;2
1000064;2006-07-06;1;1066482;1066625;2
1000065;2006-07-06;1;1066482;1066626;2
