RecID;MStamp;MStation;IDDocument;BSDatum;Commentaar
1000001;1900-01-02;1;1000013;1994-05-12;
1000002;1900-01-02;1;1000017;1993-02-05;
1000003;1900-01-02;1;1000034;1982-03-13;
1000004;1900-01-02;1;1000045;1994-04-27;
1000005;1900-01-02;1;1000059;1993-08-25;"p. 18685"
1000006;1900-01-02;1;1000059;1995-12-08;
1000007;1900-01-02;1;1000087;1994-04-13;
1000008;1900-01-02;1;1000116;1991-06-21;"
"
1000009;1900-01-02;1;1000116;1991-07-16;
1000010;1900-01-02;1;1000121;1981-10-10;
1000011;1900-01-02;1;1000135;1994-09-10;
1000012;1900-01-02;1;1000147;1993-04-07;
1000013;1900-01-02;1;1000149;1994-10-22;"p. 26743
"
1000014;1900-01-02;1;1000154;1994-09-17;"p. 23658"
1000015;1900-01-02;1;1000158;2000-06-29;"p. 22871"
1000016;1900-01-02;1;1000171;1992-11-10;
1000017;1900-01-02;1;1000178;1994-07-26;
1000018;1900-01-02;1;1000182;1995-02-15;
1000019;1900-01-02;1;1000183;1992-02-13;
1000020;1900-01-02;1;1000238;1991-02-15;
1000021;1900-01-02;1;1000254;1975-04-11;"p. 4343"
1000022;1900-01-02;1;1000263;1994-11-08;"p. 27601"
1000023;1900-01-02;1;1000282;1979-01-10;
1000024;1900-01-02;1;1000290;1994-10-14;"p. 26114
"
1000025;1900-01-02;1;1000291;1994-09-30;
1000026;1900-01-02;1;1000299;1993-04-06;
1000027;1900-01-02;1;1000385;1979-06-29;
1000028;1900-01-02;1;1000387;1992-01-04;
1000029;1900-01-02;1;1000388;1992-01-04;
1000030;1900-01-02;1;1000390;1994-09-17;"p. 23658"
1000031;1900-01-02;1;1000392;1991-10-03;
1000032;1900-01-02;1;1000406;1994-02-25;
1000033;1900-01-02;1;1000411;1994-10-27;"p. 26979"
1000034;1900-01-02;1;1000504;1979-05-09;
1000035;1900-01-02;1;1000517;1992-05-19;
1000036;1900-01-02;1;1000560;1975-01-01;"p. 14"
1000037;1900-01-02;1;1000566;1994-02-16;
1000038;1900-01-02;1;1000609;1983-10-07;
1000039;1900-01-02;1;1000611;1994-09-27;"p. 24437"
1000040;1900-01-02;1;1000612;1989-03-15;
1000041;1900-01-02;1;1000612;1991-02-07;
1000042;1900-01-02;1;1000613;1994-09-30;
1000043;1900-01-02;1;1000662;1994-01-13;"p. 703
"
1000044;1900-01-02;1;1000669;1991-09-17;
1000045;1900-01-02;1;1000689;1990-06-20;
1000046;1900-01-02;1;1000696;1991-04-25;
1000047;1900-01-02;1;1000700;1992-08-05;
1000048;1900-01-02;1;1000715;1991-08-22;
1000049;1900-01-02;1;1000724;1993-12-21;"p. 28207"
1000050;1900-01-02;1;1000730;1995-02-07;
1000051;1900-01-02;1;1000735;1995-08-17;
1000052;1900-01-02;1;1000846;1994-10-01;
1000053;1900-01-02;1;1000864;1995-02-07;
1000054;1900-01-02;1;1000866;1990-09-11;"p. 17372"
1000055;1900-01-02;1;1000867;1994-11-19;"p. 28740"
1000056;1900-01-02;1;1000929;1992-11-10;
1000057;1900-01-02;1;1000939;1992-10-27;"

"
1000058;1900-01-02;1;1000939;1993-10-14;"p. 22577
"
1000059;1900-01-02;1;1000940;1993-07-08;"p. 16173"
1000060;1900-01-02;1;1000940;1993-10-14;"p. 22578"
1000061;1900-01-02;1;1000942;1993-10-12;"p. 22358"
1000062;1900-01-02;1;1000958;1993-10-02;"p. 21735"
1000063;1900-01-02;1;1000972;1993-02-17;
1000064;1900-01-02;1;1000993;1993-09-11;
1000065;1900-01-02;1;1001003;1993-09-08;"p. 19873"
1000066;1900-01-02;1;1001044;1993-08-26;"p. 18800"
1000067;1900-01-02;1;1001055;1985-04-18;
1000068;1900-01-02;1;1001091;1989-07-28;
1000069;1900-01-02;1;1001144;1990-05-29;"p. 10979"
1000070;1900-01-02;1;1001156;1993-07-08;"p. 16172"
1000071;1900-01-02;1;1001157;1993-07-08;"p. 16172"
1000072;1900-01-02;1;1001158;1993-07-08;"p. 16173"
1000073;1900-01-02;1;1001159;1993-07-08;"p. 16174
"
1000074;1900-01-02;1;1001160;1993-07-08;"p. 16174"
1000075;1900-01-02;1;1001161;1993-07-08;"p. 16175"
1000076;1900-01-02;1;1001165;1994-12-03;
1000077;1900-01-02;1;1001166;1994-12-16;
1000078;1900-01-02;1;1001179;1995-01-05;
1000079;1900-01-02;1;1001180;1985-12-12;"p. 18274"
1000080;1900-01-02;1;1001207;1995-01-05;
1000081;1900-01-02;1;1001225;1990-06-09;
1000082;1900-01-02;1;1001227;1992-12-17;
1000083;1900-01-02;1;1001249;1991-03-23;
1000084;1900-01-02;1;1001257;1975-10-09;
1000085;1900-01-02;1;1001263;1993-06-22;
1000086;1900-01-02;1;1001310;1998-06-03;
1000087;1900-01-02;1;1001411;1995-02-07;
1000088;1900-01-02;1;1001425;1991-03-12;
1000089;1900-01-02;1;1001534;1991-12-10;
1000090;1900-01-02;1;1001538;1977-01-14;
1000091;1900-01-02;1;1001575;1993-01-23;
1000092;1900-01-02;1;1001585;1993-01-13;
1000093;1900-01-02;1;1001589;1995-03-04;
1000094;1900-01-02;1;1001602;1995-10-04;
1000095;1900-01-02;1;1001644;1992-12-17;
1000096;1900-01-02;1;1001652;1982-08-13;"p. 9298"
1000097;1900-01-02;1;1001653;1982-08-13;"p. 9298"
1000098;1900-01-02;1;1001654;1982-08-13;"p. 9299"
1000099;1900-01-02;1;1001655;1982-08-13;"p. 9299"
1000100;1900-01-02;1;1001656;1982-08-13;"p. 9300"
1000101;1900-01-02;1;1001657;1982-08-13;"p. 9298"
1000102;1900-01-02;1;1001664;1977-09-03;
1000103;1900-01-02;1;1001670;1980-02-21;"p. 2296"
1000104;1900-01-02;1;1001725;1991-05-08;
1000105;1900-01-02;1;1001761;1992-09-05;
1000106;1900-01-02;1;1001767;1995-10-04;
1000107;1900-01-02;1;1001767;1995-10-14;
1000108;1900-01-02;1;1001818;1992-08-27;
1000109;1900-01-02;1;1001833;1995-02-09;
1000110;1900-01-02;1;1001874;1991-04-10;
1000111;1900-01-02;1;1001881;1990-06-20;
1000112;1900-01-02;1;1001887;1992-07-02;
1000113;1900-01-02;1;1001902;1992-06-13;
1000114;1900-01-02;1;1001913;1995-10-13;
1000115;1900-01-02;1;1001930;1992-06-20;
1000116;1900-01-02;1;1001931;1989-10-03;
1000117;1900-01-02;1;1002004;1992-04-17;
1000118;1900-01-02;1;1002022;1990-09-12;"p. 17412"
1000119;1900-01-02;1;1002023;1995-10-13;
1000120;1900-01-02;1;1002023;1996-04-12;
