RecID;MStamp;MStation;IDDocumentActief;IDDocumentPassief;RelatieType
1000001;2006-06-24;1;1014319;1000001;2
1000002;2006-06-24;1;1000002;1000004;2
1000003;2006-06-24;1;1006636;1000004;2
1000004;2006-06-24;1;1008497;1000004;2
1000005;2006-06-24;1;1011409;1000004;2
1000006;2006-06-24;1;1012089;1000004;2
1000007;2006-06-24;1;1012648;1000004;2
1000008;2006-06-24;1;1013580;1000004;2
1000009;2006-06-24;1;1013615;1000004;2
1000010;2006-06-24;1;1000005;1001036;1
1000011;2006-06-24;1;1008459;1000005;1
1000012;2006-06-24;1;1012835;1000005;1
1000013;2006-06-24;1;1000005;1002522;2
1000014;2006-06-24;1;1006408;1000006;0
1000015;2006-06-24;1;1001952;1000007;2
1000016;2006-06-24;1;1000851;1000008;1
1000017;2006-06-24;1;1001375;1000008;2
1000018;2006-06-24;1;1000009;1002979;1
1000019;2006-06-24;1;1000009;1005316;1
1000020;2006-06-24;1;1000166;1000009;1
1000021;2006-06-24;1;1002449;1000009;1
1000022;2006-06-24;1;1007454;1000009;1
1000023;2006-06-24;1;1000010;1000009;2
1000024;2006-06-24;1;1006772;1000009;2
1000025;2006-06-24;1;1001199;1000010;0
1000026;2006-06-24;1;1013222;1000011;0
1000027;2006-06-24;1;1000012;1000011;2
1000028;2006-06-24;1;1008917;1000011;2
1000029;2006-06-24;1;1000013;1000299;0
1000030;2006-06-24;1;1002203;1000013;0
1000031;2006-06-24;1;1000015;1000014;0
1000032;2006-06-24;1;1000966;1000014;2
1000033;2006-06-24;1;1002616;1000014;2
1000034;2006-06-24;1;1000291;1000015;0
1000035;2006-06-24;1;1000016;1002783;0
1000036;2006-06-24;1;1000016;1002784;0
1000037;2006-06-24;1;1000016;1005499;1
1000038;2006-06-24;1;1000016;1001930;1
1000039;2006-06-24;1;1000016;1001054;1
1000040;2006-06-24;1;1000016;1003794;1
1000041;2006-06-24;1;1000016;1010820;1
1000042;2006-06-24;1;1000944;1000016;1
1000043;2006-06-24;1;1000016;1007914;2
1000044;2006-06-24;1;1000016;1002782;2
1000045;2006-06-24;1;1000016;1002389;2
1000046;2006-06-24;1;1000016;1002780;2
1000047;2006-06-24;1;1000019;1000016;2
1000048;2006-06-24;1;1000993;1000016;2
1000049;2006-06-24;1;1001943;1000016;2
1000050;2006-06-24;1;1003794;1000016;2
1000051;2006-06-24;1;1004663;1000016;2
1000052;2006-06-24;1;1005330;1000016;2
1000053;2006-06-24;1;1006546;1000016;2
1000054;2006-06-24;1;1006682;1000016;2
1000055;2006-06-24;1;1006880;1000016;2
1000056;2006-06-24;1;1007948;1000016;2
1000057;2006-06-24;1;1007970;1000016;2
1000058;2006-06-24;1;1008066;1000016;2
1000059;2006-06-24;1;1008373;1000016;2
1000060;2006-06-24;1;1008562;1000016;2
1000061;2006-06-24;1;1009220;1000016;2
1000062;2006-06-24;1;1011616;1000016;2
1000063;2006-06-24;1;1012061;1000016;2
1000064;2006-06-24;1;1012064;1000016;2
1000065;2006-06-24;1;1012166;1000016;2
1000066;2006-06-24;1;1012488;1000016;2
1000067;2006-06-24;1;1012811;1000016;2
1000068;2006-06-24;1;1013250;1000016;2
1000069;2006-06-24;1;1013295;1000016;2
1000070;2006-06-24;1;1013301;1000016;2
1000071;2006-06-24;1;1013459;1000016;2
1000072;2006-06-24;1;1013678;1000016;2
1000073;2006-06-24;1;1013834;1000016;2
1000074;2006-06-24;1;1013850;1000016;2
1000075;2006-06-24;1;1000019;1000017;2
1000076;2006-06-24;1;1000958;1000017;2
1000077;2006-06-24;1;1001666;1000017;2
1000078;2006-06-24;1;1000697;1000018;1
1000079;2006-06-24;1;1000019;1000018;2
1000080;2006-06-24;1;1002934;1000018;2
1000081;2006-06-24;1;1002311;1000018;2
1000082;2006-06-24;1;1005286;1000018;2
1000083;2006-06-24;1;1006121;1000018;2
1000084;2006-06-24;1;1013301;1000018;2
1000085;2006-06-24;1;1013663;1000018;2
1000086;2006-06-24;1;1006096;1000019;0
1000087;2006-06-24;1;1002934;1000019;2
1000088;2006-06-24;1;1006096;1000020;0
1000089;2006-06-24;1;1003776;1000020;2
1000090;2006-06-24;1;1006096;1000021;0
1000091;2006-06-24;1;1000025;1000024;2
1000092;2006-06-24;1;1006616;1000024;2
1000093;2006-06-24;1;1004982;1000024;2
1000094;2006-06-24;1;1009077;1000024;2
1000095;2006-06-24;1;1000378;1000025;1
1000096;2006-06-24;1;1006194;1000025;2
1000097;2006-06-24;1;1000030;1000028;0
1000098;2006-06-24;1;1000030;1000029;0
1000099;2006-06-24;1;1009842;1000030;0
1000100;2006-06-24;1;1000030;1004186;1
1000101;2006-06-24;1;1008414;1000030;2
1000102;2006-06-24;1;1009842;1000031;0
1000103;2006-06-24;1;1005323;1000031;2
1000104;2006-06-24;1;1008414;1000031;2
1000105;2006-06-24;1;1000036;1000033;2
1000106;2006-06-24;1;1003229;1000033;2
1000107;2006-06-24;1;1000697;1000033;2
1000108;2006-06-24;1;1000034;1003910;1
1000109;2006-06-24;1;1000034;1004235;1
1000110;2006-06-24;1;1000034;1003608;1
1000111;2006-06-24;1;1000034;1001725;1
