RecID;MStamp;MStation;IDDocument;IDThema;Commentaar
-1002483;2011-06-29;1;-1015951;-1000126;
-1002482;2011-06-29;1;-1015951;-1000143;
-1002481;2011-06-29;1;-1015951;-1000283;
-1002480;2011-06-29;1;-1008457;-1000283;
-1002479;2011-06-29;1;-1019573;-1000126;
-1002478;2011-06-29;1;-1019573;-1000143;
-1002477;2011-06-29;1;-1019573;-1000282;
-1002476;2011-06-29;1;-1015957;-1000001;
-1002475;2011-06-29;1;-1015957;-1000126;
-1002474;2011-06-29;1;-1015957;-1000143;
-1002473;2011-06-29;1;-1015957;-1000281;
-1002472;2011-06-29;1;-1007780;-1000126;
-1002471;2011-06-29;1;-1007780;-1000143;
-1002470;2011-06-29;1;-1007780;-1000281;
-1002469;2011-06-29;1;-1002607;-1000001;
-1002468;2011-06-29;1;-1002607;-1000126;
-1002467;2011-06-29;1;-1002607;-1000143;
-1002466;2011-06-29;1;-1002607;-1000281;
-1002465;2011-06-29;1;-1015729;-1000280;
-1002464;2011-06-29;1;-1010824;-1000143;
-1002463;2011-06-29;1;-1010824;-1000278;
-1002462;2011-06-29;1;-1010824;-1000279;
-1002461;2011-06-29;1;-1010810;-1000143;
-1002460;2011-06-29;1;-1010810;-1000278;
-1002459;2011-06-29;1;-1010810;-1000279;
-1002458;2011-06-29;1;-1010813;-1000143;
-1002457;2011-06-29;1;-1010813;-1000278;
-1002456;2011-06-29;1;-1010813;-1000279;
-1002455;2011-06-29;1;-1010812;-1000143;
-1002454;2011-06-29;1;-1010812;-1000278;
-1002453;2011-06-29;1;-1010812;-1000279;
-1002452;2011-06-29;1;-1010811;-1000143;
-1002451;2011-06-29;1;-1010811;-1000278;
-1002450;2011-06-29;1;-1010811;-1000279;
-1002449;2011-06-29;1;-1017076;-1000001;
-1002448;2011-06-29;1;-1017076;-1000126;
-1002447;2011-06-29;1;-1017076;-1000143;
-1002446;2011-06-29;1;-1017076;-1000278;
-1002445;2011-06-29;1;-1017076;-1000279;
-1002444;2011-06-29;1;-1015729;-1000126;
-1002443;2011-06-29;1;-1015729;-1000143;
-1002442;2011-06-29;1;-1015729;-1000278;
-1002441;2011-06-29;1;-1015729;-1000279;
-1002440;2011-06-29;1;-1008457;-1000126;
-1002439;2011-06-29;1;-1008457;-1000143;
-1002438;2011-06-29;1;-1008457;-1000278;
-1002437;2011-06-29;1;-1008457;-1000279;
-1002436;2011-06-29;1;-1018103;-1000001;
-1002435;2011-06-29;1;-1018103;-1000126;
-1002434;2011-06-29;1;-1018103;-1000143;
-1002433;2011-06-29;1;-1018103;-1000278;
-1002432;2011-06-29;1;-1018103;-1000279;
-1002431;2011-06-29;1;-1005976;-1000001;
-1002430;2011-06-29;1;-1005976;-1000126;
-1002429;2011-06-29;1;-1005976;-1000143;
-1002428;2011-06-29;1;-1005976;-1000278;
-1002427;2011-06-29;1;-1005976;-1000279;
-1002426;2011-06-29;1;-1006896;-1000001;
-1002425;2011-06-29;1;-1006896;-1000126;
-1002424;2011-06-29;1;-1006896;-1000142;
-1002423;2011-06-29;1;-1006896;-1000277;
-1002422;2011-06-29;1;-1006897;-1000001;
-1002421;2011-06-29;1;-1006897;-1000126;
-1002420;2011-06-29;1;-1006897;-1000142;
-1002419;2011-06-29;1;-1006897;-1000277;
-1002418;2011-06-29;1;-1008535;-1000001;
-1002417;2011-06-29;1;-1008535;-1000126;
-1002416;2011-06-29;1;-1008535;-1000142;
-1002415;2011-06-29;1;-1008535;-1000275;
-1002414;2011-06-29;1;-1007931;-1000001;
-1002413;2011-06-29;1;-1007931;-1000126;
-1002412;2011-06-29;1;-1007931;-1000142;
-1002411;2011-06-29;1;-1007931;-1000275;
-1002410;2011-06-29;1;-1006746;-1000142;
-1002409;2011-06-29;1;-1006746;-1000274;
-1002408;2011-06-29;1;-1006745;-1000142;
-1002407;2011-06-29;1;-1006745;-1000274;
-1002406;2011-06-29;1;-1020146;-1000273;
-1002405;2011-06-29;1;-1019892;-1000273;
-1002404;2011-06-29;1;-1007840;-1000126;
-1002403;2011-06-29;1;-1007840;-1000141;
-1002402;2011-06-29;1;-1007840;-1000273;
-1002401;2011-06-29;1;-1007342;-1000126;
-1002400;2011-06-29;1;-1007342;-1000141;
-1002399;2011-06-29;1;-1007342;-1000273;
-1002398;2011-06-29;1;-1000425;-1000126;
-1002397;2011-06-29;1;-1000425;-1000141;
-1002396;2011-06-29;1;-1000425;-1000272;
-1002395;2011-06-29;1;-1018294;-1000126;
-1002394;2011-06-29;1;-1018294;-1000141;
-1002393;2011-06-29;1;-1018294;-1000272;
-1002392;2011-06-29;1;-1014983;-1000126;
-1002391;2011-06-29;1;-1014983;-1000141;
-1002390;2011-06-29;1;-1014983;-1000267;
-1002389;2011-06-29;1;-1014983;-1000271;
-1002388;2011-06-29;1;-1014514;-1000141;
-1002387;2011-06-29;1;-1014514;-1000267;
-1002386;2011-06-29;1;-1014514;-1000271;
-1002385;2011-06-29;1;-1000215;-1000001;
-1002384;2011-06-29;1;-1000215;-1000126;
-1002383;2011-06-29;1;-1000215;-1000141;
-1002382;2011-06-29;1;-1000215;-1000267;
-1002381;2011-06-29;1;-1000215;-1000270;
-1002380;2011-06-29;1;-1017372;-1000126;
-1002379;2011-06-29;1;-1017372;-1000141;
-1002378;2011-06-29;1;-1017372;-1000267;
-1002377;2011-06-29;1;-1017372;-1000269;
-1002376;2011-06-29;1;-1008356;-1000001;
-1002375;2011-06-29;1;-1008356;-1000126;
-1002374;2011-06-29;1;-1008356;-1000141;
-1002373;2011-06-29;1;-1008356;-1000267;
-1002372;2011-06-29;1;-1008356;-1000269;
-1002371;2011-06-29;1;-1018900;-1000001;
-1002370;2011-06-29;1;-1018900;-1000126;
-1002369;2011-06-29;1;-1018900;-1000141;
-1002368;2011-06-29;1;-1018900;-1000267;
-1002367;2011-06-29;1;-1018900;-1000269;
-1002366;2011-06-29;1;-1012055;-1000001;
-1002365;2011-06-29;1;-1012055;-1000126;
-1002364;2011-06-29;1;-1012055;-1000141;
-1002363;2011-06-29;1;-1012055;-1000267;
-1002362;2011-06-29;1;-1012055;-1000269;
-1002361;2011-06-29;1;-1003768;-1000126;
-1002360;2011-06-29;1;-1003768;-1000141;
-1002359;2011-06-29;1;-1003768;-1000267;
-1002358;2011-06-29;1;-1003768;-1000269;
-1002357;2011-06-29;1;-1015256;-1000001;
-1002356;2011-06-29;1;-1015256;-1000126;
-1002355;2011-06-29;1;-1015256;-1000141;
-1002354;2011-06-29;1;-1015256;-1000267;
-1002353;2011-06-29;1;-1015256;-1000268;
-1002352;2011-06-29;1;-1008409;-1000001;
-1002351;2011-06-29;1;-1008409;-1000126;
-1002350;2011-06-29;1;-1008409;-1000141;
-1002349;2011-06-29;1;-1008409;-1000267;
-1002348;2011-06-29;1;-1008409;-1000268;
-1002347;2011-06-29;1;-1007984;-1000001;
-1002346;2011-06-29;1;-1007984;-1000126;
-1002345;2011-06-29;1;-1007984;-1000141;
-1002344;2011-06-29;1;-1007984;-1000267;
-1002343;2011-06-29;1;-1007984;-1000268;
-1002342;2011-06-29;1;-1000097;-1000001;
-1002341;2011-06-29;1;-1000097;-1000126;
