RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000001;2006-06-24;1;1000001;1000001
1000002;2006-06-24;1;1000003;1000002
1000003;2006-06-24;1;1000003;1000003
1000004;2006-06-24;1;1000003;1000004
1000005;2006-06-24;1;1000003;1000005
1000006;2006-06-24;1;1000003;1000006
1000007;2006-06-24;1;1000005;1000007
1000008;2006-06-24;1;1000008;1000008
1000009;2006-06-24;1;1000008;1000009
1000010;2006-06-24;1;1000008;1000010
1000011;2006-06-24;1;1000009;1000011
1000012;2006-06-24;1;1000009;1000012
1000013;2006-06-24;1;1000009;1000013
1000014;2006-06-24;1;1000009;1000014
1000015;2006-06-24;1;1000009;1000015
1000016;2006-06-24;1;1000009;1000016
1000017;2006-06-24;1;1000009;1000017
1000018;2006-06-24;1;1000016;1000018
1000019;2006-06-24;1;1000016;1000019
1000020;2006-06-24;1;1000016;1000020
1000021;2006-06-24;1;1000016;1000021
1000022;2006-06-24;1;1000016;1000022
1000023;2006-06-24;1;1000016;1000023
1000024;2006-06-24;1;1000016;1000024
1000025;2006-06-24;1;1000016;1000025
1000026;2006-06-24;1;1000016;1000026
1000027;2006-06-24;1;1000016;1000027
1000028;2006-06-24;1;1000016;1000028
1000029;2006-06-24;1;1000016;1000029
1000030;2006-06-24;1;1000018;1000019
1000031;2006-06-24;1;1000018;1000027
1000032;2006-06-24;1;1000024;1000030
1000033;2006-06-24;1;1000025;1000031
1000034;2006-06-24;1;1000025;1000032
1000035;2006-06-24;1;1000025;1000033
1000036;2006-06-24;1;1000034;1000034
1000037;2006-06-24;1;1000034;1000025
1000038;2006-06-24;1;1000034;1000026
1000039;2006-06-24;1;1000035;1000025
1000040;2006-06-24;1;1000035;1000026
1000041;2006-06-24;1;1000040;1000035
1000042;2006-06-24;1;1000040;1000036
1000043;2006-06-24;1;1000041;1000037
1000044;2006-06-24;1;1000044;1000038
1000045;2006-06-24;1;1000044;1000039
1000046;2006-06-24;1;1000045;1000040
1000047;2006-06-24;1;1000045;1000041
1000048;2006-06-24;1;1000045;1000042
1000049;2006-06-24;1;1000045;1000043
1000050;2006-06-24;1;1000045;1000044
1000051;2006-06-24;1;1000045;1000045
1000052;2006-06-24;1;1000045;1000046
1000053;2006-06-24;1;1000045;1000047
1000054;2006-06-24;1;1000045;1000048
1000055;2006-06-24;1;1000045;1000049
1000056;2006-06-24;1;1000047;1000050
1000057;2006-06-24;1;1000047;1000051
1000058;2006-06-24;1;1000049;1000050
1000059;2006-06-24;1;1000049;1000051
1000060;2006-06-24;1;1000050;1000050
1000061;2006-06-24;1;1000050;1000051
1000062;2006-06-24;1;1000057;1000052
1000063;2006-06-24;1;1000057;1000053
1000064;2006-06-24;1;1000057;1000054
1000065;2006-06-24;1;1000089;1000055
1000066;2006-06-24;1;1000089;1000056
1000067;2006-06-24;1;1000089;1000057
